Material,VEC,∆χ,δ,∆Hmix/(kJ·mol −1),∆Smix /(J·K−1·mol−1),Phase
Cu0.5NiAlCoCrFeSi,7,0.12,6.35,−22.58,16.01,AM
Zr 17Ta 16Ti 19Nb 22Si 26,4.38,0.2,11.08,−48.64,13.25,AM
Cu50Zr 50,7.5,0.29,11.25,−23.00,5.76,AM
Ni 50Nb 50,7.5,0.16,6.84,−30.00,5.76,AM
PdPtCuNiP,9.2,0.16,9.29,−23.68,13.38,AM
SrCaYbMgZn,4.2,0.26,15.25,−13.12,13.38,AM
SrCaYbMgZnCu,5.33,0.35,18.14,−13.11,14.9,AM
SrCaYb(Li 0.55Mg 0.45)Zn,4.11,0.26,15.63,−12.15,14.53,AM
ErTbDyNiAl,4.4,0.3,13.74,−37.60,13.38,AM
AlCrTaTiZr,4.4,0.11,7.84,−20.00,13.38,AM
CuNbNiTiZr,6.8,0.22,9.24,−21.28,13.38,AM
Zr50Ti 50,4,0.11,4.57,0,5.76,AM
Mg50Cu50,6.5,0.3,11.22,−3.00,5.76,AM
Zr 50Ni 50,7,0.24,12.5,−49.00,5.76,AM
Mg50Ni 50,6,0.3,12.47,−4.00,5.76,AM
ZrHfTiCuNi,6.6,0.27,10.32,−27.36,13.38,AM
ZrHfTiCuFe,6.2,0.25,10.42,−15.84,13.38,AM
ZrHfTiCuCo,6.4,0.26,10.23,−23.52,13.38,AM
Cu0.5NiAlCoCrFeTi,7,0.14,6.99,−17.18,16.01,AM
Cu0.5NiAlCoCrFe,7.55,0.12,5.51,−7.93,14.7,AM
AlCrMoSiTi,4.6,0.23,8.68,−34.08,13.38,AM
AlCrMoTaTiZr,4.67,0.26,9.09,−16.11,14.9,AM
AlMoNbSiTaTiVZr,4.5,0.24,8.64,−32.19,17.29,AM
6FeNiCoSiCrAlTi,7,0.11,6.56,−21.22,13.21,SS
WNbMoTa,5.5,0.36,2.31,−6.50,11.53,SS
WNbMoTaV,5.4,0.34,3.15,−4.64,13.38,SS
FeCoNiCrCu,8.8,0.09,1.03,3.2,13.38,SS
FeCoNiCrCuAl0.3,8.47,0.1,3.42,0.16,14.43,SS
FeCoNiCrCuAl 0.5,8.27,0.11,4.17,−1.52,14.7,SS
FeCoNiCrCuAl 0.8,8,0.12,4.92,−3.61,14.87,SS
FeCoNiCrCuAl 1.0,7.83,0.12,5.28,−4.78,14.9,SS
FeCoNiCrCuAl 1.5,7.46,0.12,5.89,−7.05,14.78,SS
FeCoNiCrCuAl 2.0,7.14,0.13,6.26,−8.65,14.53,SS
FeCoNiCrCuAl 2.3,6.97,0.13,6.4,−9.38,14.35,SS
FeCoNiCrCuAl 2.8,6.72,0.13,6.57,−10.28,14.01,SS
FeCoNiCrCuAl 3,6.63,0.13,6.61,−10.56,13.86,SS
FeNi 2CrCuAl 0.2,8.77,0.1,2.94,0.12,12.01,SS
