,compound,Bravais_lattice_relax,spacegroup_relax,volume_cell,density,geometry,enthalpy_formation_cell,natoms,energy_atom,eentropy_atom,scintillation_attenuation_length,valence_cell_std,bader_atomic_volumes,bader_net_charges
0,Pa1,"BCT
",139,24.655,15.5608,[  3.204229   3.204229   3.204229 104.4111   104.4111   120.1487  ],,1,-9.47535,4.888e-05,-9.98532e-05,5,[24.655],[-0.]
1,La1Ru4Sb12,"BCC
",204,412.651,8.06501,[  8.123343   8.123343   8.123343 109.4712   109.4712   109.4712  ],,17,-4.91648,-0.000256558,1.41639,95,"[24.6294 20.0399 20.0455 20.0399 20.0399 25.6545 25.6443 25.6585 25.6545
 25.6687 25.6443 25.6443 25.6545 25.6585 25.6545 25.6545 25.6443]","[ 1.4974 -0.6179 -0.6244 -0.6179 -0.6179  0.0789  0.085   0.0841  0.0789
  0.0781  0.085   0.085   0.0789  0.0841  0.0789  0.0789  0.085 ]"
2,Cu1Th2,"HEX
",191,93.1519,9.40547,[  5.683755   5.685008   3.328609  90.        90.       119.9927  ],,3,-4.4324,0.000133053,-0.000188637,19,[23.172  34.7062 35.2737],[-0.4005  0.2352  0.1653]
3,La1Sn3,"CUB
",221,116.31,7.06668,[ 4.881341  4.881341  4.881341 90.       90.       90.      ],,4,-4.49811,-0.000346562,1.58807,15,[25.3156 31.2166 29.1351 30.6427],[ 1.1906 -0.4816 -0.2808 -0.4282]
4,In2Mo6Se6,"HEX
",176,322.712,6.5814,[  9.054796   9.057543   4.543226  90.        90.       119.9929  ],,14,-5.74378,-0.00025382,1.84119,78,"[28.4477 28.4477 15.2888 15.2671 15.2409 15.2888 15.2649 15.2409 29.0706
 28.9965 29.0423 29.0684 28.9987 29.0401]","[ 0.6458  0.6458  0.5736  0.5796  0.5856  0.5736  0.5801  0.5856 -0.8002
 -0.7906 -0.7941 -0.8002 -0.7907 -0.794 ]"
5,Pt3V1,"BCT
",139,59.2083,17.843,[  4.794876   4.794876   4.794876 132.2632   132.2632    69.8137  ],,4,-4.7228,1.97e-05,0.436367,35,[16.5222 16.4494 16.8585  9.3782],[-0.4769 -0.4326 -0.5378  1.4473]
6,Bi1,"CUB
",221,34.8151,9.96752,[ 3.265296  3.265296  3.265296 90.01136  90.01136  90.01136 ],0.040686,1,-3.99674,0.00022058,0.678922,5,[34.8151],[-0.]
7,Hg3Zr1,"CUB
",221,88.0368,13.0711,[ 4.448581  4.448581  4.448581 90.       90.       90.      ],-0.24884,4,-2.423,-0.000467168,0.584419,40,[22.3036 23.7226 25.0283 16.9824],[-0.2903 -0.4781 -0.653   1.4214]
8,Ga1N1,"FCC
",216,23.2081,5.99187,[ 3.20173  3.20173  3.20173 60.      60.      60.     ],,2,-5.89728,7.701e-05,2.07655,8,[10.1503 13.0578],[ 1.4562 -1.4562]
9,In1,"BCT
",139,26.6899,7.14366,[  3.384609   3.384609   3.384609 121.6659   121.6659    87.13802 ],,1,-2.58598,2.914e-05,1.59342,3,[26.6899],[0.]
10,Ga2La1,"HEX
",191,72.4123,6.38373,[  4.338366   4.338366   4.442451  90.        90.       119.9985  ],,3,-3.88152,0.000156687,1.81339,9,[23.7521 23.1611 25.4991],[-0.7018 -0.6106  1.3124]
11,Ce1Rh1Si3,"BCT
",107,86.5927,6.27611,[  5.699545   5.699545   5.699545 136.5059   136.5059    63.1991  ],,5,-5.56881,0.000246572,1.76917,25,[19.8971 20.715  16.7257 14.6258 14.6264],[ 1.489  -1.5965 -0.3298  0.2187  0.2185]
12,Ta1,"FCC
",225,19.4029,15.4859,[ 3.016204  3.016204  3.016204 60.       60.       60.      ],,1,-9.89043,0.00015184,0.535401,5,[19.4029],[-0.]
13,Cs1,"FCC
",225,115.717,1.90719,[ 5.469792  5.469792  5.469792 60.       60.       60.      ],,1,-0.853276,-0.00014468,5.72007,1,[115.7171],[0.]
14,C1Rh1,"FCC
",225,20.5277,9.29589,[ 3.073396  3.073396  3.073396 60.       60.       60.      ],,2,-5.58622,4.896e-05,1.25168,13,[ 8.1445 12.3832],[-0.5319  0.5319]
15,Se2Ta1,"RHL
",160,71.0837,7.91607,[ 7.029556  7.029556  7.029556 28.75633  28.75633  28.75633 ],,3,-6.5168,0.000460803,1.25417,17,[27.8286 27.8417 15.4118],[-0.7614 -0.7491  1.5105]
16,Li1Pb1,"RHL
",166,45.2218,7.86324,[ 3.562773  3.562773  3.562773 89.70522  89.70522  89.70522 ],-0.554091,2,-3.0821,3.749e-05,0.897791,5,[ 4.2685 40.9532],[ 0.8412 -0.8411]
17,Be17Nb2,"RHL
",166,168.992,3.33127,[ 5.566502  5.566502  5.566502 83.0775   83.0775   83.0775  ],,19,-4.43184,6.22653e-05,3.72472,44,"[ 7.2546  7.0862 12.9532 12.9532 12.9532  6.8678  7.0862  6.9631  7.1209
  7.0862  7.0246  6.913   6.913   6.9967  6.913   6.8303  6.914  16.0806
 16.0816]","[ 0.2424  0.2843 -1.5021 -1.5021 -1.5021  0.2387  0.1795  0.2131  0.1704
  0.1795  0.1963  0.254   0.254   0.2316  0.254   0.2762  0.2538  0.6392
  0.6391]"
