,compound,Bravais_lattice_relax,spacegroup_relax,volume_cell,density,geometry,enthalpy_formation_cell,natoms,energy_atom,eentropy_atom,scintillation_attenuation_length,valence_cell_std,bader_atomic_volumes,bader_net_charges
0,La1Mg1,"CUB
",221,62.8722,4.31061,[ 3.976364  3.976364  3.976364 90.       90.       90.      ],,2,-3.31591,-0.00042824,2.51348,5,[34.4673 28.4048],[ 0.4612 -0.4612]
1,Ga3Ti1,"BCT
",139,64.6081,6.6082,[  5.190811   5.190811   5.190811 136.8527   136.8527    62.66471 ],,4,-3.34774,6.395e-05,1.90666,13,[17.9376 17.4575 17.457  11.7559],[-0.5083 -0.3621 -0.362   1.2325]
2,B6Yb1,"CUB
",221,71.0111,5.56311,[ 4.141034  4.141034  4.141034 90.       90.       90.      ],,7,-6.31215,-9.6e-07,1.69113,34,[ 8.9431  9.3662  9.1182  9.1946  9.2418  9.0694 16.0779],[-0.2012 -0.2985 -0.217  -0.2842 -0.2577 -0.2433  1.5019]
3,N1Pr1,"ORCC
",38,34.708,7.41159,[  3.529881   3.533959   3.211522  90.        90.       119.9618  ],,2,-7.96245,-1.992e-05,1.38443,10,[15.9838 18.7243],[-1.7103  1.7103]
4,Cu3N1,"CUB
",221,55.875,6.0818,[ 3.823013  3.823013  3.823013 90.       90.       90.      ],,4,-3.52783,7.7245e-05,2.02627,38,[14.9868 15.0105 15.011  10.8666],[ 0.4653  0.4645  0.4645 -1.3943]
5,Co1Zr1,"CUB
",221,34.9774,7.12847,[ 3.270363  3.270363  3.270363 90.       90.       90.      ],,2,-6.44103,-0.00013764,1.7193,13,[18.7803 16.1971],[-1.1209  1.1209]
6,C2Rh1U2,"BCT
",139,83.6208,11.9741,[  6.93509   6.93509   6.93509 149.9102  149.9102   43.07329],,5,-8.2001,-0.00026071,-0.000169339,29,[12.3408 12.3344 20.7267 19.1129 19.106 ],[-1.4865 -1.4857 -0.6194  1.7953  1.7962]
7,Nd1Os4Sb12,"BCC
",204,416.698,9.42866,[  8.149815   8.149815   8.149815 109.4712   109.4712   109.4712  ],,17,-5.37989,-1.38912e-05,1.04224,98,"[23.0494 22.5586 22.6303 22.5586 22.5586 25.3167 25.2316 25.2316 25.3343
 25.3167 25.2316 25.2316 25.3343 25.2485 25.3174 25.3167 25.2316]","[ 1.4975 -0.7708 -0.7862 -0.7708 -0.7708  0.1257  0.1416  0.1416  0.1247
  0.1257  0.1416  0.1416  0.1247  0.1407  0.1257  0.1257  0.1416]"
8,Co1,"FCC
",225,11.3975,8.58615,[ 2.526051  2.526051  2.526051 60.       60.       60.      ],,1,-3.49833,-5.358e-05,1.44565,9,[11.3975],[-0.]
9,Cu1Mg1Sb1,"FCC
",216,61.1287,5.69374,[ 4.421675  4.421675  4.421675 60.       60.       60.      ],,3,-2.92047,0.000112967,2.05828,18,[19.4888  7.2381 34.4018],[-0.6874  1.5236 -0.8363]
10,Y1Zn1,"FCC
",225,51.2703,4.997,[ 4.169914  4.169914  4.169914 60.       60.       60.      ],,2,-3.46055,-3.615e-06,2.44727,15,[20.6691 30.6013],[ 1.321 -1.321]
11,S1Sc1,"FCC
",225,37.1214,3.44513,[ 3.744379  3.744379  3.744379 60.       60.       60.      ],,2,-6.4045,0.00014981,3.49007,9,[25.334  11.7874],[-1.5983  1.5984]
12,Al2Os1,"BCT
",139,41.9924,9.65514,[  4.738755   4.738755   4.738755 140.8975   140.8975    56.49312 ],,3,-5.79222,3.55333e-06,0.870991,14,,
13,Be17Zr2,"RHL
",166,179.34,3.10781,[ 5.680352  5.680352  5.680352 82.85375  82.85375  82.85375 ],-4.46637,19,-4.48131,-0.000119326,4.03281,42,"[ 7.6396  7.849   9.6657  9.6657  9.6657  8.8559  9.102   8.8855  8.8559
  8.6496  8.8661  8.6302  8.718   8.718   8.8048  8.717   8.717  14.6676
 14.6666]","[ 0.1866  0.1338 -0.4678 -0.4678 -0.4678 -0.1803 -0.2455 -0.1882 -0.1803
 -0.1257 -0.183  -0.03   -0.0513 -0.0513 -0.0725 -0.0512 -0.0512  1.2467
  1.2469]"
14,Be17Hf2,"RHL
",166,176.175,4.80879,[ 5.646126  5.646126  5.646126 82.90854  82.90854  82.90854 ],-4.25844,19,-4.61872,-8.98489e-05,1.9647,42,"[ 7.5499  7.7496  9.764   9.764   9.764   8.832   8.4498  8.4959  8.832
  8.7237  8.6775  8.3906  8.3906  8.3204  8.3896  8.4598  8.3896 14.6164
 14.6154]","[ 0.1868  0.1363 -0.5415 -0.5415 -0.5415 -0.218  -0.1153 -0.1279 -0.218
 -0.1889 -0.1763 -0.0241 -0.0241 -0.0064 -0.0239 -0.0415 -0.0239  1.2449
  1.2451]"
15,Au5K1,"HEX
",191,132.63,12.8197,[  5.794759   5.794717   4.560845  90.        90.       120.0002  ],,6,-1.51476,-6.38283e-05,0.581924,56,[21.7304 21.7293 23.2389 23.3721 22.6909 19.8688],[-0.1547 -0.1545 -0.1744 -0.1853 -0.1028  0.7718]
16,Ge3U1,"CUB
",221,79.7742,9.4877,[ 4.304812  4.304812  4.304812 90.       90.       90.      ],,4,-5.77076,4.44175e-05,-0.000323125,18,[19.8344 19.6685 19.172  21.0993],[-0.4513 -0.4252 -0.3517  1.2283]
17,Be12W1,"BCT
",139,109.546,4.42619,[  5.517188   5.517188   5.517188  98.38212   98.38212  135.1091  ],,13,-4.36344,2.24377e-05,2.14333,30,"[12.4051 11.2786 11.5262 12.1326  5.8635  6.0887  6.0887  5.8635  4.1213
  4.1213  4.1219  4.1213 21.813 ]","[-1.3918 -1.0924 -1.1538 -1.318   0.6244  0.5742  0.5742  0.6244  0.9573
  0.9573  0.9571  0.9573 -1.2702]"
